Ensembl Gene ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
YHR055C	CUP1-2	8	214533	214718	-1
YPR161C	SG6	16	864449	866422	-1
YOL138C	RTC1	15	61325	65350	-1
YDR395W	SXM1	4	1263324	1266158	1
YGR129W	SYF2	7	750400	751047	1
YPR165W	RHO1	16	875368	875997	1
YPR098C		16	728947	729528	-1
YPL015C	HST2	16	525810	526883	-1
YCL050C	APA1	3	37836	38801	-1
YAL069W		1	335	649	1
YMR193W	MRPL24	13	650036	650812	1
YLR031W		12	204225	204785	1
YIL014C-A		9	325212	325526	-1
YGR053C		7	594986	595837	-1
YCR101C		3	302482	303030	-1
YER087C-B	SBH1	5	332582	332830	-1
YOR280C	FSH3	15	844992	845792	-1
YGR097W	ASK10	7	678695	682135	1
YHR215W	PHO12	8	552099	553502	1
YKL025C	PAN3	11	390240	392279	-1
YKR011C		11	461635	462696	-1
YEL004W	YEA4	5	146951	147979	1
YJL200C	ACO2	10	56444	58813	-1
YLL027W	ISA1	12	87403	88155	1
YOR024W		15	377847	378170	1
YLR045C	STU2	12	235037	237703	-1
YDR348C		4	1170326	1171825	-1
YPL183C	RTT10	16	199495	202536	-1
YGR003W	CUL3	7	500132	502366	1
YEL008C-A		5	140726	140818	-1
YBL095W		2	43277	44089	1
YGL060W	YBP2	7	390065	391990	1
YLL007C		12	134302	136299	-1
YEL009C	GCN4	5	138918	139763	-1
YEL015W	EDC3	5	126629	128284	1
YOR083W	WHI5	15	479533	480420	1
YBR252W	DUT1	2	722611	723054	1
YDR329C	PEX3	4	1126270	1127595	-1
YDL202W	MRPL11	4	98475	99224	1
YHR209W	CRG1	8	519437	520312	1
YPR008W	HAA1	16	573018	575102	1
YER075C	PTP3	5	308413	311199	-1
YDL203C	ACK1	4	96082	97953	-1
YBR050C	REG2	2	337183	338199	-1
YMR197C	VTI1	13	658545	659198	-1
YDR261W-A		4	981462	982778	1
YBL049W	MOH1	2	126828	127244	1
YER054C	GIP2	5	262052	263698	-1
YDR305C	HNT2	4	1072746	1073488	-1
YHL019W-A		8	67711	68304	1
YNL201C	PSY2	14	260627	263203	-1
YHR180W-A		8	466932	467114	1
YCR061W		3	225563	227458	1
YBR206W		2	634601	634924	1
YPL171C	OYE3	16	226169	227371	-1
YHR051W	COX6	8	209705	210151	1
YDL116W	NUP84	4	251566	253746	1
YPR124W	CTR1	16	786208	787428	1
YJL023C	PET130	10	397355	398398	-1
YGL167C	PMR1	7	187616	190468	-1
YDL165W	CDC36	4	164290	164865	1
YLR154C-H		12	468827	468958	-1
YPL119C-A		16	324024	324287	-1
YIL143C	SSL2	9	80510	83041	-1
YBR292C		2	784702	785073	-1
YGR240C	PFK1	7	970771	973734	-1
YOR094W	ARF3	15	502795	503346	1
YDR167W	TAF10	4	789449	790069	1
YBR063C		2	366970	368184	-1
YER052C	HOM3	5	256375	257958	-1
YGR178C	PBP1	7	851047	853215	-1
YPL118W	MRP51	16	326628	327662	1
YPR187W	RPO26	16	911257	911800	1
YJL065C	DLS1	10	315054	315557	-1
YOL141W	PPM2	15	56452	58539	1
YPR086W	SUA7	16	710101	711138	1
YBR122C	MRPL36	2	483970	484503	-1
YBR271W		2	744852	746111	1
YBR279W	PAF1	2	761257	762594	1
YHR095W		8	292943	293437	1
YMR221C		13	713931	715445	-1
YDR241W	BUD26	4	945151	945438	1
YJL221C	IMA4	10	16767	18536	-1
YER130C		5	421115	422446	-1
YBR155W	CNS1	2	549771	550928	1
YDR363W	ESC2	4	1199183	1200553	1
YGR266W		7	1022656	1024761	1
YLR443W	ECM7	12	1022625	1023971	1
YPL147W	PXA1	16	273255	275867	1
YAL034C	FUN19	1	80710	81951	-1
YBR067C	TIP1	2	372103	372735	-1
YCR095C	OCA4	3	288170	289258	-1
YLR270W	DCS1	12	681186	682238	1
YPR084W		16	706972	708342	1
YBR184W		2	597363	598934	1
YMR113W	FOL3	13	494999	496282	1
YGR035C		7	557072	557422	-1
YDL222C	FMP45	4	60872	61801	-1
YCL008C	STP22	3	105696	106853	-1
YEL065W	SIT1	5	27657	29543	1
YNL335W	DDI3	14	11452	12129	1
YMR296C	LCB1	13	859215	860891	-1
YDR232W	HEM1	4	927452	929098	1
YGR190C		7	880296	880661	-1
YHR116W	COX23	8	341665	342120	1
YDR313C	PIB1	4	1089219	1090079	-1
YFR018C		6	183131	184222	-1
YKL007W	CAP1	11	429302	430108	1
YIL048W	NEO1	9	261437	264892	1
YDL213C	NOP6	4	77289	77966	-1
YDR443C	SSN2	4	1345676	1349938	-1
YNL292W	PUS4	14	82806	84017	1
YKL183C-A		11	98395	98607	-1
YOR324C	FRT1	15	923232	925040	-1
YNL134C		14	372451	373581	-1
YKL100C		11	253697	255460	-1
YOR192C-B		15	704419	709732	-1
YPL021W	ECM23	16	511101	511664	1
YIL146C	ATG32	9	74184	75773	-1
YLR299C-A		12	727911	728003	-1
YNL218W	MGS1	14	238238	240001	1
YIL121W	QDR2	9	132244	133872	1
YNL228W		14	220645	221421	1
YDL167C	NRP1	4	160995	163154	-1
YPL214C	THI6	16	148569	150191	-1
YOR228C		15	766869	767777	-1
YBR270C	BIT2	2	742761	744398	-1
YGR222W	PET54	7	939923	940804	1
YEL063C	CAN1	5	31694	33466	-1
YAL068W-A		1	538	792	1
YML020W		13	231149	233143	1
YGR121C	MEP1	7	731449	732927	-1
YBR222C	PCS60	2	666720	668351	-1
YDL095W	PMT1	4	287059	289512	1
YDL003W	MCD1	4	444683	446383	1
YOR323C	PRO2	15	921535	922905	-1
YMR183C	SSO2	13	626921	627808	-1
YOR274W	MOD5	15	837674	838960	1
YER146W	LSM5	5	462585	462866	1
YML075C	HMG1	13	115734	118898	-1
YOL035C		15	258803	259105	-1
YPL063W	TIM50	16	429939	431369	1
YDR457W	TOM1	4	1369790	1379596	1
YLR273C	PIG1	12	689083	691029	-1
YDR181C	SAS4	4	825910	827355	-1
YLR434C		12	1006025	1006408	-1
YGL097W	SRM1	7	321782	323230	1
YCL056C	PEX34	3	26925	27359	-1
YJL083W	TAX4	10	278841	280655	1
YMR242W-A		13	754297	754386	1
YOR026W	BUB3	15	379781	380806	1
YPL140C	MKK2	16	287514	289034	-1
YNR016C	ACC1	14	654673	661374	-1
YER123W	YCK3	5	404813	406387	1
YGR055W	MUP1	7	599417	601141	1
YKR054C	DYN1	11	535647	547925	-1
YMR315W		13	902800	903849	1
YAL024C	LTE1	1	101565	105872	-1
YKL202W		11	63821	64402	1
YKL187C		11	89284	91536	-1
YDR383C	NKP1	4	1239960	1240676	-1
YDR396W		4	1266295	1266795	1
YGR115C		7	720372	721151	-1
YKL055C	OAR1	11	335321	336157	-1
YDR035W	ARO3	4	521816	522928	1
YBL062W		2	105308	105688	1
YHR160C	PEX18	8	419221	420072	-1
YGR047C	TFC4	7	586392	589469	-1
YDR119W	VBA4	4	688227	690533	1
YBR208C	DUR1,2	2	636703	642210	-1
YER151C	UBP3	5	469686	472424	-1
YLR070C	XYL2	12	274141	275211	-1
YPR019W	MCM4	16	596750	599551	1
YPL228W	CET1	16	118382	120031	1
YPR190C	RPC82	16	917077	919041	-1
YGR041W	BUD9	7	577487	579130	1
YDR353W	TRR1	4	1183299	1184258	1
YHR097C		8	297385	298609	-1
YPL047W	SGF11	16	465962	466261	1
YPL014W		16	527547	528692	1
YGR007W	ECT1	7	506969	507940	1
YML116W	ATR1	13	38196	39824	1
YOL137W	BSC6	15	65621	67114	1
YGL155W	CDC43	7	214081	215211	1
YER061C	CEM1	5	278298	279626	-1
YKL214C	YRA2	11	31082	31693	-1
YPL119C	DBP1	16	324411	326264	-1
YDL125C	HNT1	4	239019	239606	-1
YHR186C	KOG1	8	475999	480672	-1
YKL011C	CCE1	11	420155	421216	-1
YLL019C	KNS1	12	105686	107899	-1
YNL257C	SIP3	14	160631	164320	-1
YGL199C		7	123572	124042	-1
YJR092W	BUD4	10	598735	603078	1
YDR010C		4	465051	465383	-1
YBL059W		2	110594	111244	1
YBR291C	CTP1	2	783673	784572	-1
YPL189C-A	COA2	16	188307	188513	-1
YDR262W		4	993134	993952	1
YFL012W		6	110647	111093	1
YLR078C	BOS1	12	285736	286559	-1
YDR072C	IPT1	4	589761	591344	-1
YDR179C	CSN9	4	818708	819196	-1
YKL153W		11	163600	164109	1
YOR108C-A		15	524605	524814	-1
YGR220C	MRPL9	7	936074	936883	-1
YIL053W	RHR2	9	255115	255867	1
YMR161W	HLJ1	13	577718	578392	1
YER011W	TIR1	5	175248	176012	1
YDR258C	HSP78	4	971808	974243	-1
YDR467C		4	1397583	1397909	-1
YGL162W	SUT1	7	198138	199037	1
YNL243W	SLA2	14	188051	190957	1
YBR234C	ARC40	2	685438	686592	-1
YNL047C	SLM2	14	539911	541881	-1
YKL038W	RGT1	11	365605	369117	1
YFL053W	DAK2	6	23423	25198	1
YOR200W		15	720417	720815	1
YKR060W	UTP30	11	556518	557342	1
YPR200C	ARR2	16	939279	939671	-1
YLR411W	CTR3	12	947253	947978	1
YLR318W	EST2	12	766542	769196	1
YHR150W	PEX28	8	397251	398990	1
YGL219C	MDM34	7	82878	84257	-1
YFL009W	CDC4	6	116145	118484	1
YBR045C	GIP1	2	328173	330092	-1
YMR039C	SUB1	13	348644	349522	-1
YKL195W	MIA40	11	75821	77032	1
YPR127W		16	790083	791120	1
YPL188W	POS5	16	191406	192650	1
YGL147C	RPL9A	7	227754	228329	-1
YDR217C	RAD9	4	899551	903480	-1
YML015C	TAF11	13	241989	243029	-1
YJR126C	VPS70	10	656254	658689	-1
YPR026W	ATH1	16	615379	619014	1
YHR073W	OSH3	8	242582	245572	1
YMR274C	RCE1	13	814364	815311	-1
YMR008C	PLB1	13	280590	282584	-1
YHR125W		8	358858	359163	1
YER119C-A		5	400867	401238	-1
YDL227C	HO	4	46271	48031	-1
YOR197W	MCA1	15	717086	718384	1
YDR034C-C		4	518040	519356	-1
YNL081C	SWS2	14	476188	476619	-1
YKL096W-A	CWP2	11	259253	259531	1
YDR532C	KRE28	4	1499396	1500553	-1
YNL319W		14	38642	39082	1
YDR049W	VMS1	4	553254	555152	1
YBR113W		2	465566	466048	1
YKL170W	MRPL38	11	130634	131050	1
YJL043W		10	360130	360903	1
YGL047W	ALG13	7	411552	412160	1
YLR006C	SSK1	12	161755	163893	-1
YHR079C	IRE1	8	258244	261591	-1
YPR171W	BSP1	16	883828	885558	1
YML063W	RPS1B	13	146482	147249	1
YLR178C	TFS1	12	513162	513821	-1
YHL029C	OCA5	8	45929	47968	-1
YJL090C	DPB11	10	262757	265051	-1
YBR008C	FLR1	2	252563	254209	-1
YDR372C	VPS74	4	1221112	1222149	-1
YOR184W	SER1	15	679357	680544	1
YHR218W		8	558014	559924	1
YMR203W	TOM40	13	668492	669655	1
YBL006W-A		2	216711	216860	1
YIR008C	PRI1	9	373077	374306	-1
YBL024W	NCL1	2	172534	174588	1
YDR317W	HIM1	4	1102184	1103428	1
YOL166C		15	1000	1338	-1
YJL087C	TRL1	10	270002	272485	-1
YJL038C	LOH1	10	375115	375774	-1
YDR043C	NRG1	4	542674	543369	-1
YHR028C	DAP2	8	164978	167434	-1
YOR340C	RPA43	15	959202	960182	-1
YCL044C	MGR1	3	47111	48364	-1
YEL072W	RMD6	5	13720	14415	1
YFR022W	ROG3	6	196833	199034	1
YIR010W	DSN1	9	375431	377161	1
YBL008W	HIR1	2	209653	212175	1
YMR178W		13	618479	619303	1
YOL008W	COQ10	15	310312	310935	1
YHR017W	YSC83	8	138694	139851	1
YKR101W	SIR1	11	640540	642504	1
YMR095C	SNO1	13	457285	457959	-1
YHR198C	AIM18	8	496315	497280	-1
YOR076C	SKI7	15	469377	471620	-1
YGL015C		7	465043	465435	-1
YNL219C	ALG9	14	235996	237663	-1
YLR210W	CLB4	12	562008	563390	1
YIL034C	CAP2	9	289226	290089	-1
YLR148W	PEP3	12	434641	437397	1
YOR342C		15	966666	967625	-1
YOL070C	NBA1	15	197220	198725	-1
YDL160C	DHH1	4	170410	171930	-1
YIL043C	CBR1	9	274072	274926	-1
YLR124W		12	391600	391944	1
YGR231C	PHB2	7	952548	953480	-1
YPR202W		16	943032	943896	1
YGR034W	RPL26B	7	555812	556672	1
YMR266W	RSN1	13	798518	801379	1
YNL021W	HDA1	14	593227	595347	1
YPL107W		16	349119	349865	1
YGR088W	CTT1	7	654634	656322	1
YHR173C		8	450815	451153	-1
YCR063W	BUD31	3	228318	228791	1
YHR073W-A		8	242868	243044	1
YDL048C	STP4	4	366739	368211	-1
YML092C	PRE8	13	85987	86739	-1
YPR097W		16	725394	728615	1
YBR201C-A		2	624493	624696	-1
YNL056W	OCA2	14	517249	517842	1
YAL020C	ATS1	1	113614	114615	-1
YDL025C	RTK1	4	405344	407206	-1
YDL243C	AAD4	4	17577	18566	-1
YFL017C	GNA1	6	103983	104462	-1
YGL197W	MDS3	7	124698	129161	1
YLR256W-A		12	651117	652439	1
YHR092C	HXT4	8	287081	288811	-1
YLL011W	SOF1	12	127523	128992	1
YDR379C-A		4	1233278	1233517	-1
YDR113C	PDS1	4	680496	681617	-1
YLR189C	ATG26	12	530797	534393	-1
YNR074C	AIF1	14	777602	778738	-1
YOL159C		15	17281	17796	-1
YDL247W	MPH2	4	5985	7814	1
YFL028C	CAF16	6	79344	80213	-1
YML032C	RAD52	13	212515	213930	-1
YBR256C	RIB5	2	727386	728102	-1
YOR081C	TGL5	15	476939	479188	-1
YLR442C	SIR3	12	1019315	1022251	-1
YPL024W	RMI1	16	503517	504242	1
YMR257C	PET111	13	779629	782031	-1
YDL219W	DTD1	4	65242	65765	1
YKL122C	SRP21	11	212495	212998	-1
YKR040C		11	518063	518566	-1
YDL080C	THI3	4	310642	312471	-1
YGL240W	DOC1	7	48613	49365	1
YEL001C	IRC22	5	150301	150978	-1
YLR374C		12	871453	871842	-1
YPR168W	NUT2	16	878076	878549	1
YDL034W		4	391783	392127	1
YHR109W	CTM1	8	330310	332067	1
YJL060W	BNA3	10	323386	324720	1
YPL061W	ALD6	16	432588	434090	1
YDR223W	CRF1	4	912099	913502	1
YER174C	GRX4	5	538434	539168	-1
YGR104C	SRB5	7	697445	698368	-1
YLR240W	VPS34	12	617533	620160	1
YPR062W	FCY1	16	677165	677641	1
YDR402C	DIT2	4	1272234	1273703	-1
YLR037C	PAU23	12	222685	223059	-1
YMR146C	TIF34	13	557481	558524	-1
YGR241C	YAP1802	7	974875	976581	-1
YGL062W	PYC1	7	385196	388732	1
YPR057W	BRR1	16	672471	673496	1
YIL012W		9	333011	333352	1
YDR156W	RPA14	4	769525	769938	1
YJR113C	RSM7	10	638232	638975	-1
YLR416C		12	954491	954889	-1
YPR131C	NAT3	16	793911	794498	-1
YLR029C	RPL15A	12	201976	202590	-1
YMR155W		13	568551	570194	1
YNL180C	RHO5	14	299654	300649	-1
YGR164W		7	828625	828960	1
YOL106W		15	113226	113579	1
YIL140W	AXL2	9	85366	87837	1
YIL171W-A		9	18260	18712	1
YDR272W	GLO2	4	1009010	1009834	1
YDR114C		4	681924	682226	-1
YOR238W		15	783677	784588	1
YPR077C		16	697131	697502	-1
YKL142W	MRP8	11	178515	179174	1
YLR139C	SLS1	12	421542	423473	-1
YNR044W	AGA1	14	703699	705876	1
YPR009W	SUT2	16	576552	577358	1
YHR032W	ERC1	8	173344	175089	1
YDR429C	TIF35	4	1324477	1325301	-1
YGL079W	KXD1	7	359444	360100	1
YNR031C	SSK2	14	680694	685433	-1
YHR084W	STE12	8	274174	276240	1
YOR004W	UTP23	15	333592	334356	1
YMR086C-A		13	442026	442364	-1
YMR233W	TRI1	13	739185	739865	1
YMR244W		13	757250	758317	1
YLL010C	PSR1	12	129330	130613	-1
YNL188W	KAR1	14	286308	287609	1
YKL156C-A		11	158975	159091	-1
YNL104C	LEU4	14	424895	426754	-1
YIL005W	EPS1	9	345692	347797	1
YOR365C		15	1023461	1025572	-1
YNR030W	ALG12	14	678799	680454	1
YBR265W	TSC10	2	738582	739544	1
Q0055	AI2	Mito	13818	18830	1
YGL131C	SNT2	7	261648	265859	-1
YDL162C		4	167359	167715	-1
YDR246W-A		4	955133	955333	1
YHR033W		8	175548	176819	1
YNR040W		14	699690	700460	1
YNR034W	SOL1	14	690321	691286	1
YEL076C		5	4464	5114	-1
YHL046W-A		8	9981	10307	1
YDL071C		4	330666	331040	-1
YOR173W	DCS2	15	657264	658325	1
YOR337W	TEA1	15	954344	956623	1
YGL104C	VPS73	7	308713	310173	-1
YNL181W		14	298335	299558	1
YDR164C	SEC1	4	782041	784215	-1
YGR243W	FMP43	7	977336	977776	1
YOR107W	RGS2	15	521353	522282	1
YDR464W	SPP41	4	1388872	1393179	1
YGR210C		7	913503	914738	-1
YLR012C		12	169982	170281	-1
YOR168W	GLN4	15	649303	651732	1
YLR054C	OSW2	12	248717	250978	-1
YNL002C	RLP7	14	626174	627142	-1
YHR193C	EGD2	8	487712	488236	-1
YNL294C	RIM21	14	78659	80260	-1
YOR005C	DNL4	15	334509	337343	-1
YPR147C		16	825645	826559	-1
YBR092C	PHO3	2	427698	429101	-1
YJL028W		10	391311	391646	1
YOR242C	SSP2	15	788742	789857	-1
YLR077W	FMP25	12	283872	285623	1
YCR081W	SRB8	3	254371	258654	1
YOR396C-A		15	1090015	1090497	-1
YLR458W		12	1056455	1056835	1
YBL040C	ERD2	2	142112	142868	-1
YJR127C	RSF2	10	658917	663059	-1
YJL176C	SWI3	10	92053	94530	-1
YLR453C	RIF2	12	1041799	1042986	-1
YCR007C		3	126011	126730	-1
YHR128W	FUR1	8	362115	362765	1
YOR297C	TIM18	15	874743	875321	-1
YDR225W	HTA1	4	915530	915928	1
YPR020W	ATP20	16	599870	600217	1
YJR003C		10	440994	442553	-1
YIL101C	XBP1	9	175307	177250	-1
YHR136C	SPL2	8	374654	375100	-1
YPR114W		16	753301	754248	1
YPL189W	GUP2	16	189154	190983	1
YJL056C	ZAP1	10	330431	333073	-1
YPR169W-A		16	883239	883457	1
YLR264C-A		12	673828	673944	-1
YPL247C		16	82625	84196	-1
YDR482C	CWC21	4	1420431	1420838	-1
YJL122W	ALB1	10	189716	190243	1
YBL058W	SHP1	2	111437	112708	1
YLL039C	UBI4	12	64062	65207	-1
YKL107W		11	236141	237070	1
YCL017C	NFS1	3	92777	94270	-1
YER085C		5	327619	328140	-1
YMR186W	HSC82	13	632355	634472	1
YCR065W	HCM1	3	229310	231004	1
YOR388C	FDH1	15	1071793	1072923	-1
YLR002C	NOC3	12	154343	156334	-1
YFL045C	SEC53	6	43628	44392	-1
YPR091C		16	716156	718468	-1
YOL083W	ATG34	15	165714	166952	1
YLR307C-A		12	746848	747111	-1
YDR366C		4	1212438	1212836	-1
